id,url,title,location,postcode,price_eur,rent_period,double_beds,thumbnail_url,first_seen,last_seen,status,needs_review,review_reasons
rentie-6620301,https://www.rent.ie/rooms-to-rent/Portland-Lock-Portland-Place-Dublin-1-North-Circular-Road-Dublin-1/6620301/,"Portland Lock, Portland Place, Dublin 1","North Circular Road, Dublin 1",Dublin 1,1165,month,1,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00,active,False,
rentie-6620321,https://www.rent.ie/rooms-to-rent/245-Plums-Road-Dublin-16-Dundrum-Dublin-16/6620321/,"245 Plums Road, Dublin 16","Dundrum, Dublin 16",Dublin 16,900,month,1,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00,active,False,
rentie-6622894,https://www.rent.ie/rooms-to-rent/Sussex-Terrace-Mespil-Rd-Ballsbridge-Dublin-4/6622894/,"Sussex Terrace, Mespil Rd, Ballsbridge, Dublin 4","Ballsbridge, Dublin 4",Dublin 4,1110,month,1,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00,active,False,
rentie-6620255,https://www.rent.ie/rooms-to-rent/Oxmantown-Road-Dublin-7-Arbour-Hill-Dublin-7/6620255/,"Oxmantown Road, Dublin 7","Arbour Hill, Dublin 7",Dublin 7,840,month,1,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00,active,False,
rentie-6620242,https://www.rent.ie/rooms-to-rent/Charlemont-Street-Dublin-2/6620242/,"Charlemont Street, Dublin 2",Dublin 2,Dublin 2,1500,month,1,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00,active,False,
rentie-6619524,https://www.rent.ie/rooms-to-rent/Harrington-Street-Dublin-8-Portobello-Dublin-8/6619524/,"Harrington Street, Dublin 8","Portobello, Dublin 8",Dublin 8,810,month,1,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00,active,False,
rentie-6568527,https://www.rent.ie/rooms-to-rent/Lower-Ballymount-Road-Ballymount-Dublin-12/6568527/,"Lower Ballymount Road, Ballymount, Dublin 12","Ballymount, Dublin 12",Dublin 12,800,month,1,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00,active,False,
rentie-6571309,https://www.rent.ie/rooms-to-rent/Ranelagh-Roaddublin-6-Ranelagh-Dublin-6/6571309/,"Ranelagh Road, Dublin 6","Ranelagh, Dublin 6",Dublin 6,1450,month,1,,2026-07-18T05:35:00+00:00,2026-07-18T05:35:00+00:00,active,False,
draft-6529240,https://www.daft.ie/for-rent/flat-flat-9-102-north-circular-road-dublin-7-stoneybatter-dublin-7/6529240,"Flat 9, 102 North Circular Road, Stoneybatter, Dublin 7","Stoneybatter, Dublin 7",Dublin 7,1650,month,1,,2026-07-09,2026-07-18T05:55:00+00:00,active,False,
draft-6610161,https://www.daft.ie/for-rent/apartment-47-block-c-old-kilmainham-village-kilmainham-dublin-8/6610161,"Apartment 47, Block C, Old Kilmainham Village, Kilmainham, Dublin 8","Kilmainham, Dublin 8",Dublin 8,1700,month,1,,2026-07-18T05:55:00+00:00,2026-07-18T05:55:00+00:00,active,False,
draft-6617977,https://www.daft.ie/for-rent/flat-3-46-south-circular-road-adare-dublin-8-dublin-8/6617977,"Flat 3, 46 South Circular Road, Dublin 8","Dublin 8",Dublin 8,1700,month,1,,2026-07-18T05:55:00+00:00,2026-07-18T05:55:00+00:00,active,False,
